                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0582,                  4.535,                  4.865,                 1.3985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.9392,                 4.3729,                 4.9519,                 1.4562,              1.581e-05,              1.581e-05,              1.581e-05
                      2,                 1.0259,                 4.0089,                 4.7595,                  1.373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.84927,                 3.7825,                 4.8826,                 1.3748,             3.2228e-05,             3.2228e-05,             3.2228e-05
                      3,                0.93066,                 3.5084,                 4.5162,                 1.3108,                  0.125,                0.02679,                0.07589,                0.06786,                  0.125,                0.02679,                0.07589,                0.04709,                0.85909,                 3.2336,                 4.7157,                 1.3426,             4.8314e-05,             4.8314e-05,             4.8314e-05
                      4,                0.94573,                 3.2599,                 4.1762,                 1.3226,                0.10208,                0.22222,                0.15226,                0.11495,                0.10208,                0.22222,                0.15226,                0.07143,                0.91676,                 3.0798,                 4.2845,                 1.3836,             6.4069e-05,             6.4069e-05,             6.4069e-05
                      5,                0.95227,                 3.1307,                 3.7805,                 1.3401,                0.15078,                0.54774,                0.28823,                0.19904,                0.09887,                0.42795,                0.19918,                0.11305,                0.93196,                 3.0093,                 3.7712,                 1.4295,             7.9492e-05,             7.9492e-05,             7.9492e-05
                      6,                0.97411,                 3.0151,                 3.4438,                 1.3775,                 0.4674,                0.28265,                0.28236,                0.19236,                0.54971,                0.16724,                0.19471,                0.11383,                 1.0158,                 2.9422,                 3.1799,                 1.5529,             8.8396e-05,             8.8396e-05,             8.8396e-05
                      7,                0.99737,                 2.9408,                 3.0721,                 1.4144,                0.48035,                0.31424,                0.39675,                0.23705,                0.40397,                0.23958,                0.25289,                0.16203,                  1.097,                   2.91,                 2.9914,                 1.6531,             8.8396e-05,             8.8396e-05,             8.8396e-05
                      8,                 1.0258,                 2.8984,                  2.854,                 1.4611,                0.43064,                0.44772,                0.46785,                0.29684,                0.29092,                0.32741,                 0.3051,                0.20124,                 1.0991,                 3.0854,                 3.0658,                 1.6845,             8.7476e-05,             8.7476e-05,             8.7476e-05
                      9,                 1.0182,                 2.8389,                 2.5775,                  1.469,                0.37518,                0.51562,                0.46543,                0.30416,                0.28028,                0.40404,                0.33606,                0.20387,                 1.1341,                 2.9405,                  2.754,                 1.7305,             8.6555e-05,             8.6555e-05,             8.6555e-05
                     10,                 1.0443,                 2.8157,                 2.4919,                 1.4964,                0.57616,                0.54857,                0.48547,                0.31137,                0.47976,                0.42382,                0.34419,                0.20224,                 1.0948,                 3.0071,                  2.593,                 1.7229,             8.5634e-05,             8.5634e-05,             8.5634e-05
